Immutable:
0xfcfd8e9eb9d6ec1518326de5385476d4d26b0682d70267add0084193ae403652 ethereum:0xB6846927447e4764acd53b0b354BEd939f9220d7
0x95275ddb3e393113e19b284d6806675c79ab6698047f0cf6bdf7bb5ca1568c6d ethereum:0xF27d54dB0587442b01d6036C0F7f67CDaaBa1743
0x665ede6663477caf46bd510bb4ba7de3f2a6d8f51f840d058bad706018c67453 ethereum:0xE7Fd68F6a389DE7D7C9cFCfCE15486885abeDD44
0xef6480951f06efac6ba95f0530ca0340d138c7208111550c58acbd6481520d79 ethereum:0x485858BA818aab8744f2932A4982bfB0E7Db0005
0xdec3a533c2d2004adafb78bf9d2e3f16e42a1c061ac62c31795c3e0bd006426b ethereum:0x0D736853812A12F085DE867aDF4eA4ABA9521Fc0
0xa461f73f68673cc277f554dc5888d74dc47e1f756d93f9c3f2813f801fb1c269 ethereum:0x5dC91D01290af474CE21DE14c17335a6dEe4d2a8

Pythonized result:
0x0bb7cd360bb26d8a487130df151eb05ce4afe4fd3452fcdbdd3cfa432e17cbb5 ethereum 0x31DA64D19Cd31A19CD09F4070366Fe2144792cf7
0xc6fc9d901cf59527db2a86ff96ebd61f6a469b56100f1a94498e2f068a91f50b ethereum 0x100524b68fe88035623F1309Bb3Db9b64e924724
0x7c44d7be0909b7d0aaf2c476c9c337b43f59f311d40469f3e0cc99dc46308b56 arbitrum 0xa8968d1dbA3F93FB7412d15F4139C0f63537e9E2
0x970ba596f805bae56173fc8c6865317fd90b24c1871f324ff19f0fc8a8b81069 ethereum 0x103388f5661d224F4aFb555C7E4a8FB52d0b752d
0x397ec6a954a442e44c9ca54398210cdd9b24211f3488cd6cfc0693407a4041a2 ethereum 0x6e2BC597F1e83F9fC7c1f69157F2C12476873971
0x00a6e4c29d4f4c792c4f6c43b197f95b24d626a94e6faf8ee81bc9320d579d7e ethereum 0x86dF12f51E3531689e0615bb2F739ddf01337715
0x081a1805983e86cd6a80ed48c012c26bf9a39473c0f1e69b357afff240f027a0 ethereum 0x90C0A0a63d7ff47BfAA1e9F8fa554dabc986504a
0xdf47c6cd4fcffcfa4a670e1544e2391acc365cd7fd9b8e7583d58b28dff50c40 ethereum 0xBB13642F795014E0EAC2b0d52ECD5162ECb66712
0x981d4f2ae5949ab33c6ba83f6446595d3b853bf6f7157884304445d70b185374 ethereum 0x81754d2E48e3e553ba6Dfd193FC72B3A0c6076d9
0x91db58e4059dfed7357e56dac17d2963c6f9cfb540f527988ed25172251a2584 ethereum 0x5575218cECd370E1d630d1AdB03c254B0B376821
0x9276015f2765194b8fc3bda15ecb50e1dacb7d171c9fd9dc4902b05944d949b0 ethereum 0x8e2961B885E7Ede5fEDf3eE90Bb2648c81A2C43A
0xb1fe1fe741a2a22eb0e195e6bbd15f2f8de06e5586318a57ca82cbb6386f82e3 ethereum 0x96326f628d3E4DdA2645D4b8b6f337fC4B72aEB7
0xe2afd35e21cefc5b6eda770f7082c3916b8353d50c158a857cfc2ada89027f5b ethereum 0x3d20b96e5635CfCFF58c9CE66017F2240313B47C
0x3703a67e457793b9a26cf1ac8548b5ea17dd768da63011587bb1af5c1f7c1d99 ethereum 0x2B11300E3A6eaBA8C7AF4Fae8A92589eA417D7eE
0xe25c80e0504b1ab9202b66f81f2f479e695d2440a0b5fe1ad31a300a75e64f2a ethereum 0x9711256c6F2dFFabff9671dBaf1B4A3F7FB3Cffb
0x3190c62a59b62169498d1f61c08c5c722c70cc0a6aaa37b185fd3f8014941b96 ethereum 0x98DFF0828C8f870c31E209f35dF7ed22d194Ea9B

Never worked:
'0x062a3f9d395c0c0119e9ee90d3f5c2f8d62124b52ceaa8cdb4df0e107c8f8c4f'
'0x56713b5534c12ed120f7815d30e2b2dc41289446324aec923a867cfd300f1be5'
0x46eae4f2e7b6b0f5096ba403f113ff3c86205368a36af081ab280441d64942fc ethereum 0xB5353268d8d4D711a92cb838F8fEDFC2A66E50Db
