Name,Coingecko,Rank,Market Cap,Platform,Contract,Address,Origin,Origin Address
Sperax USD,https://www.coingecko.com/en/coins/sperax-usd,1659,1779122,arbitrum-one,TransparentUpgradeableProxy,https://arbiscan.io/address//0xd74f5255d557944cf7dd0e45ff521520002d5748,arbitrum-one,0xd74f5255d557944cf7dd0e45ff521520002d5748
OATH,https://www.coingecko.com/en/coins/oath,1669,1759590,arbitrum-one,AnyswapV6ERC20,https://arbiscan.io/address//0xa1150db5105987cec5fd092273d1e3cbb22b378b,fantom,0x21ada0d2ac28c3a5fa3cd2ee30882da8812279b6
CheckDot,https://www.coingecko.com/en/coins/checkdot,1687,1686351,arbitrum-one,CheckDot,https://arbiscan.io/address//0x0cbd6fadcf8096cc9a43d90b45f65826102e3ece,binance-smart-chain,0x0cbd6fadcf8096cc9a43d90b45f65826102e3ece
Quick Intel,https://www.coingecko.com/en/coins/quick-intel,1731,1559875,arbitrum-one,Quicki,https://arbiscan.io/address//0x6d038130b9b379a373b1d33a29d5904ed1bb9026,arbitrum-one,0x6d038130b9b379a373b1d33a29d5904ed1bb9026
Vesta Finance,https://www.coingecko.com/en/coins/vesta-finance,1744,1518298,arbitrum-one,VSTAToken,https://arbiscan.io/address//0xa684cd057951541187f288294a1e1c2646aa2d24,arbitrum-one,0xa684cd057951541187f288294a1e1c2646aa2d24
Y2K,https://www.coingecko.com/en/coins/y2k,1773,1436012,arbitrum-one,ClonableBeaconProxy,https://arbiscan.io/address//0x65c936f008bc34fe819bce9fa5afd9dc2d49977f,arbitrum-one,0x65c936f008bc34fe819bce9fa5afd9dc2d49977f
Perpy Finance,https://www.coingecko.com/en/coins/perpy-finance,1777,1428732,arbitrum-one,PerpyToken,https://arbiscan.io/address//0x1824a51c106efc27d35a74efb56d9bf54ddb22d4,arbitrum-one,0x1824a51c106efc27d35a74efb56d9bf54ddb22d4
Equilibria Finance,https://www.coingecko.com/en/coins/equilibria-finance,1788,1411572,arbitrum-one,ClonableBeaconProxy,https://arbiscan.io/address//0xbfbcfe8873fe28dfa25f1099282b088d52bbad9c,arbitrum-one,0xbfbcfe8873fe28dfa25f1099282b088d52bbad9c
O3 Swap,https://www.coingecko.com/en/coins/o3-swap,1831,1295449,arbitrum-one,O3,https://arbiscan.io/address//0xee9801669c6138e84bd50deb500827b776777d28,binance-smart-chain,0xee9801669c6138e84bd50deb500827b776777d28
Reunit Wallet,https://www.coingecko.com/en/coins/reunit-wallet,1833,1291361,arbitrum-one,OFT,https://arbiscan.io/address//0x9ed7e4b1bff939ad473da5e7a218c771d1569456,arbitrum-one,0x9ed7e4b1bff939ad473da5e7a218c771d1569456
Lodestar,https://www.coingecko.com/en/coins/lodestar,1855,1220607,arbitrum-one,Comp,https://arbiscan.io/address//0xf19547f9ed24aa66b03c3a552d181ae334fbb8db,arbitrum-one,0xf19547f9ed24aa66b03c3a552d181ae334fbb8db
Arken Finance,https://www.coingecko.com/en/coins/arken-finance,1867,1199187,arbitrum-one,ArkenToken,https://arbiscan.io/address//0xaf5db6e1cc585ca312e8c8f7c499033590cf5c98,arbitrum-one,0xaf5db6e1cc585ca312e8c8f7c499033590cf5c98
Kommunitas,https://www.coingecko.com/en/coins/kommunitas,1877,1164471,arbitrum-one,AnyswapV6ERC20,https://arbiscan.io/address//0xa58663faef461761e44066ea26c1fcddf2927b80,polygon-pos,0xc004e2318722ea2b15499d6375905d75ee5390b8
Wombex,https://www.coingecko.com/en/coins/wombex,1887,1143405,arbitrum-one,BridgeToken,https://arbiscan.io/address//0x5190f06eacefa2c552dc6bd5e763b81c73293293,binance-smart-chain,0xa75d9ca2a0a1d547409d82e1b06618ec284a2ced
Edgeware,https://www.coingecko.com/en/coins/edgeware,1960,1004852,arbitrum-one,Edgeware,https://arbiscan.io/address//0x6e7118b82fb9608342c288a90eeb5e614aaee2e9,binance-smart-chain,0xad1898d4d222ccb2ae8e36585c7bf2a59984a736
Optimism,https://www.coingecko.com/en/coins/optimism,42,1141008471,optimistic-ethereum,GovernanceToken,https://optimistic.etherscan.io/address//0x4200000000000000000000000000000000000042,optimistic-ethereum,0x4200000000000000000000000000000000000042
Kujira,https://www.coingecko.com/en/coins/kujira,256,99092484,optimistic-ethereum,BurnableMintableCappedERC20,https://optimistic.etherscan.io/address//0x3a18dcc9745edcd1ef33ecb93b0b6eba5671e7ca,osmosis,ibc/BB6BCDB515050BAE97516111873CCD7BCF1FD0CCB723CC12F3C4F704D6C646CE
BOB,https://www.coingecko.com/en/coins/bob,409,49491475,optimistic-ethereum,EIP1967Proxy,https://optimistic.etherscan.io/address//0xb0b195aefa3650a6908f15cdac7d92f8a5791b0b,polygon-pos,0xb0b195aefa3650a6908f15cdac7d92f8a5791b0b
dForce USD,https://www.coingecko.com/en/coins/token-dforce-usd,516,32202900,optimistic-ethereum,TransparentUpgradeableProxy,https://optimistic.etherscan.io/address//0xbfd291da8a403daaf7e5e9dc1ec0aceacd4848b9,binance-smart-chain,0xb5102cee1528ce2c760893034a4603663495fd72
MAI,https://www.coingecko.com/en/coins/mimatic,583,26236480,optimistic-ethereum,EditableERC20,https://optimistic.etherscan.io/address//0xdfa46478f9e5ea86d57387849598dbfb2e964b02,polygon-pos,0xa3fa99a148fa48d14ed51d610c367c61876997f1
Overnight.fi USD+,https://www.coingecko.com/en/coins/usd,612,23809297,optimistic-ethereum,ERC1967Proxy,https://optimistic.etherscan.io/address//0x73cb180bf0521828d8849bc8cf2b920918e23032,polygon-pos,0x236eec6359fb44cce8f97e99387aa7f8cd5cde1f
Kwenta,https://www.coingecko.com/en/coins/kwenta,702,18354749,optimistic-ethereum,Kwenta,https://optimistic.etherscan.io/address//0x920cf626a271321c151d027030d5d08af699456b,optimistic-ethereum,0x920cf626a271321c151d027030d5d08af699456b
Velodrome Finance,https://www.coingecko.com/en/coins/velodrome-finance,863,12073339,optimistic-ethereum,Velo,https://optimistic.etherscan.io/address//0x9560e827af36c94d2ac33a39bce1fe78631088db,optimistic-ethereum,0x9560e827af36c94d2ac33a39bce1fe78631088db
Sonne Finance,https://www.coingecko.com/en/coins/sonne-finance,1078,6608715,optimistic-ethereum,Sonne,https://optimistic.etherscan.io/address//0x1db2466d9f5e10d7090e7152b68d62703a2245f0,optimistic-ethereum,0x1db2466d9f5e10d7090e7152b68d62703a2245f0
Pika Protocol,https://www.coingecko.com/en/coins/pika-protocol,1166,5257856,optimistic-ethereum,Pika,https://optimistic.etherscan.io/address//0x9a601c5bb360811d96a23689066af316a30c3027,optimistic-ethereum,0x9a601c5bb360811d96a23689066af316a30c3027
Tarot,https://www.coingecko.com/en/coins/tarot,1181,5098775,optimistic-ethereum,AnyswapV6ERC20,https://optimistic.etherscan.io/address//0x375488f097176507e39b9653b88fdc52cde736bf,fantom,0xc5e2b037d30a390e62180970b3aa4e91868764cd
Ethos Reserve Note,https://www.coingecko.com/en/coins/ethos-reserve-note,1258,4089867,optimistic-ethereum,LUSDToken,https://optimistic.etherscan.io/address//0xc5b001dc33727f8f26880b184090d3e252470d45,optimistic-ethereum,0xc5b001dc33727f8f26880b184090d3e252470d45
Extra Finance,https://www.coingecko.com/en/coins/extra-finance,1433,2793745,optimistic-ethereum,EXTRA,https://optimistic.etherscan.io/address//0x2dad3a13ef0c6366220f989157009e501e7938f8,optimistic-ethereum,0x2dad3a13ef0c6366220f989157009e501e7938f8
